,LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,OREB%,DREB%,REB%,TS%,PACE,PIE
1,".A. Horford, .M. Smart, .J. Brown, .J. Tatum, .R. Williams III",BOS,32,417,117,93.3,23.7,62.1,2.08,26.8,76.4,54.2,60.6,99.6,63.8
2,".A. Horford, .D. Schroder, .M. Smart, .J. Tatum, .R. Williams III",BOS,12,103,94.2,111.3,-17,50,1.41,27,75,48.8,48.4,95.96,40.2
3,".M. Smart, .J. Brown, .J. Tatum, .R. Williams III, .G. Williams",BOS,20,91,125.1,96,29.1,58.2,1.96,27.7,72.4,52.7,65.8,104.95,64
4,".A. Horford, .D. Schroder, .M. Smart, .J. Tatum, .G. Williams",BOS,13,88,121.4,103.8,17.5,67.1,2.85,28.8,72.5,52,63.9,100.24,62
5,".D. Schroder, .M. Smart, .J. Brown, .J. Tatum, .R. Williams III",BOS,11,66,105.6,99.3,6.3,57.7,1.88,28,73.2,50,52.8,102.97,56.8
6,".A. Horford, .D. Schroder, .J. Brown, .J. Tatum, .R. Williams III",BOS,8,64,121.1,104.9,16.3,63.8,2.06,31.5,83.3,58.8,61.5,92.33,56.6
7,".A. Horford, .D. Schroder, .J. Richardson, .J. Tatum, .G. Williams",BOS,15,53,101,100.9,0,76.2,1.6,35.2,64.6,49,53.5,95.86,48.3
8,".A. Horford, .M. Smart, .J. Brown, .J. Tatum, .G. Williams",BOS,12,50,106.8,117,-10.2,76.7,2.06,11.1,80,47.4,64.6,109.32,50.3
9,".D. Schroder, .M. Smart, .J. Tatum, .R. Williams III, .G. Williams",BOS,13,47,107.8,111.2,-3.4,51.3,1.25,18.8,87,52.1,58.3,106.74,44.7
10,".A. Horford, .D. Schroder, .J. Brown, .J. Tatum, .G. Williams",BOS,5,46,107.2,99,8.2,66.7,2.6,16.3,74,47.3,57.5,101.62,54.2
11,".D. Schroder, .J. Richardson, .J. Tatum, .R. Williams III, .G. Williams",BOS,14,45,103.4,119.1,-15.7,48.5,0.94,36.4,54.8,45.3,56.5,95.67,41.5
12,".M. Smart, .J. Richardson, .J. Brown, .J. Tatum, .R. Williams III",BOS,9,45,125,98.9,26.1,47.6,1.82,36.6,75,56.5,61.7,99.02,63.4
13,".M. Smart, .J. Richardson, .J. Brown, .R. Williams III, .G. Williams",BOS,13,40,101.1,100,1.1,68.8,1.38,15.6,64.2,45.9,61.4,105.47,63.3
14,".D. Schroder, .M. Smart, .J. Richardson, .J. Tatum, .R. Williams III",BOS,7,39,129.3,83.8,45.5,53.8,2.33,35.1,70.6,52.1,63.3,99.18,72.7
15,".M. Smart, .J. Brown, .J. Tatum, .R. Williams III, .R. Langford",BOS,5,39,96.3,114,-17.7,73.3,1.47,22.5,56.3,40.9,52.4,101.98,37
16,".A. Horford, .D. Schroder, .M. Smart, .J. Brown, .J. Tatum",BOS,8,38,81,101.2,-20.3,60.9,1.75,24.5,70.7,44.7,40.6,103.14,36.6
17,".A. Horford, .D. Schroder, .J. Richardson, .J. Brown, .G. Williams",BOS,11,37,89.2,113.3,-24.1,69.6,1.33,23.7,65.6,42.9,50.9,97.34,32.1
18,".A. Horford, .J. Brown, .J. Tatum, .D. White, .G. Williams",BOS,3,36,123.6,118.9,4.7,76.5,2.89,14.3,71,44.1,67,98.11,52
19,".M. Smart, .J. Brown, .D. White, .R. Williams III, .G. Williams",BOS,9,36,110.5,129.5,-19,75.8,3.13,27.5,53.6,38.2,54.2,102.71,42.6
20,".E. Freedom, .D. Schroder, .J. Richardson, .J. Tatum, .G. Williams",BOS,9,35,108.5,88.7,19.7,42.3,1,33.3,71.4,52.9,58.9,97.94,67.9
