,Name,Team,Pos,MIN/G,PTS,AST,REB,STL,BLK,TOV,ORB,3PM,3PA,FTM,FTA,PF,Rating
1,Jayson Tatum,BOS,SF,36.1,26,4.2,8.3,1,0.7,2.9,1.2,2.8,8,5.2,6.1,2.3,92
2,Jaylen Brown,BOS,SG,33.6,23.2,3.3,6.2,1,0.3,2.8,0.8,2.5,7,3.7,4.9,2.5,84
3,Marcus Smart,BOS,PG,32.8,11.9,5.5,3.9,1.7,0.3,2.1,0.6,1.6,5,2.1,2.6,2.4,79
4,Robert Williams III,BOS,PF,30,10,2,9.8,0.9,2.2,1.1,4,0,0,1.1,1.6,2.2,82
5,Derrick White,BOS,PG,29.7,14,5.2,3.5,1,0.9,1.7,0.6,1.6,5,2.7,3.2,2.3,81
6,Al Horford,BOS,PF,28.8,10.2,3.4,7.7,0.6,1.4,1,1.6,1.3,4,1.2,1.5,1.9,77
7,Grant Williams,BOS,PF,23.8,7.8,1.1,3.3,0.5,0.7,0.7,0.8,1.5,3,1,1.1,2.3,73
8,Daniel Theis,BOS,C,21.1,7.8,0.8,5,0.4,0.7,1,1.1,0.8,3,0.9,1.4,2.4,78
9,PJ Dozier,BOS,PG,18.8,5.4,1.6,3.5,0.6,0.3,0.7,0.8,0.8,3,0.6,0.7,1.8,73
10,Kelan Martin,BOS,PF,15.9,6.1,0.8,1.9,0.5,0.3,0.5,0.6,0.8,3,0.3,0.5,1.3,69
11,Payton Pritchard,BOS,PG,12.8,5.1,1.9,1.6,0.2,0.1,0.6,0.4,1.1,3,0.3,0.3,0.9,79
12,Enes Freedom,BOS,C,11.7,3.7,0.2,4.6,0.1,0.4,0.6,1.7,0.1,0,0.7,0.8,1.2,80
13,Aaron Nesmith,BOS,SF,10.4,3.4,0.4,1.7,0.3,0.1,0.6,0.3,0.5,2,0.4,0.4,1.2,69
14,Jabari Parker,BOS,PF,9.3,4.4,0.5,2.3,0.3,0.1,0.7,0.4,0.7,1,0.8,0.8,1.1,74
15,Luke Kornet,BOS,C,5.5,0.7,0.3,1.2,0.3,0.2,0,0.5,0,0,0.3,0.5,0.5,72
16,Malik Fitts,BOS,PF,5.1,0.9,0,1.6,0,0,0.3,0,0.3,1,0,0,0.4,71
17,Brodric Thomas,BOS,SG,4.9,1.4,0.7,0.7,0,0.1,0.4,0.2,0.1,1,0.2,0.4,0.7,69
18,Sam Hauser,BOS,PF,4.8,1.8,0.3,0.6,0.1,0.1,0.1,0.1,0.6,2,0,0,0.3,69
19,C.J. Miles,BOS,SF,1,0,0,0,0,0,0,0,0,0,0,0,1,74
20,Joe Johnson,BOS,SG,1,2,0,0,0,0,0,0,0,0,0,0,0,75
21,Dennis Schröder,BOS,PG,29.3,14.4,4.6,3.5,0.8,0.1,2.3,0.6,1.3,4,2.5,2.9,2.5,82
22,Josh Richardson,BOS,SF,23.8,9.2,1.5,2.7,0.7,0.5,0.8,0.6,1.4,3,1.3,1.5,1.8,76
23,Romeo Langford,BOS,PG,16.5,4.7,0.4,2.4,0.5,0.4,0.4,0.7,0.7,2,0.5,0.8,1,68
